specie,longitude,latitude
Diglossa baritula baritula,-100.01666,19.11666
Diglossa baritula baritula,-99.205,19.03333
Diglossa baritula baritula,-99.26216,19.018976
Diglossa baritula baritula,-99.09333,19.01666
Diglossa baritula baritula,-98.72833,18.89166
Diglossa baritula baritula,-99.78333333,18.65
Diglossa baritula baritula,-99.6,18.566
Diglossa baritula baritula,-96.84666667,18.17
Diglossa baritula baritula,-96.99666667,18.165
Diglossa baritula baritula,-99.9,18.15
Diglossa baritula baritula,-96.73858,18.05534
Diglossa baritula baritula,-99.967595,17.816713
Diglossa baritula baritula,-100.9154667,17.80741667
Diglossa baritula baritula,-100.5483333,17.74166667
Diglossa baritula baritula,-99.72666667,17.7416666
Diglossa baritula baritula,-96.4116666,17.705
Diglossa baritula baritula,-99.748522,17.6263
Diglossa baritula baritula,-99.83861,17.61583
Diglossa baritula baritula,-99.851,17.614166
Diglossa baritula baritula,-99.83707,17.58668
Diglossa baritula baritula,-99.69,17.5741
Diglossa baritula baritula,-99.66666667,17.55
Diglossa baritula baritula,-96.50333333,17.51
Diglossa baritula baritula,-100.2666667,17.5
Diglossa baritula baritula,-100.2,17.48333333
Diglossa baritula baritula,-100.1666667,17.46666667
Diglossa baritula baritula,-100.11666,17.41666
Diglossa baritula baritula,-96.428366,17.3970306
Diglossa baritula baritula,-97.83656111,17.20540556
Diglossa baritula baritula,-96.675,17.16333
Diglossa baritula baritula,-99.669602,17.556454
Diglossa baritula baritula,-97.795,17.025
Diglossa baritula baritula,-97.75,17.01666
Diglossa baritula baritula,-97.114,16.205
Diglossa baritula baritula,-96.48548,16.08972
